time_bucket_id,unique_src_ips,unique_dst_ips,unique_dst_ports,avg_duration,failed_conns,tcp_count,dns_count,unique_domains,file_count,total_file_bytes,reporter_count,snmp_count,tunnel_count,unique_tunnel_types,failed_conn_ratio,tcp_ratio,snmp_write_ratio,traffic_asymmetry,total_bytes,src_concentration,weird_rate,dns_to_conn_ratio,nxdomain_ratio
0,236,34,230,1.1948085354327054,504,424,1.0,1.0,5.0,1275.0,3.0,3.0,10.0,1.0,0.8442211055276382,0.7102177554438861,0.0,0.48146473779385174,8848.0,0.3953098827470687,0.0033500837520938024,0.0016750418760469012,0.0
2,986,113,292,0.2170986611713734,1430,1282,3.0,3.0,9.0,1088.0,18.0,1.0,6.0,1.0,0.8789182544560541,0.7879532882606023,0.0,-0.311231046003598,3891.0,0.6060233558696988,0.015980331899200985,0.0018438844499078057,0.0
3,1125,160,344,0.2429100049239347,1683,1421,12.0,7.0,25.0,3698.0,15.0,3.0,2.0,1.0,0.8319327731092437,0.7024221453287197,0.0,-0.2052401746724891,14427.0,0.5561047948591201,0.009391992090954029,0.005931784478497282,0.0
4,973,124,319,0.2291886527761281,1368,1111,9.0,9.0,6.0,1887.0,20.0,4.0,2.0,1.0,0.8216216216216217,0.6672672672672673,0.0,-0.4155785682125169,4442.0,0.5843843843843843,0.005405405405405406,0.005405405405405406,0.0
5,1015,117,340,0.6076311486165399,1471,1187,15.0,7.0,15.0,1594.0,18.0,2.0,6.0,1.0,0.80119825708061,0.6465141612200436,0.0,-0.09964047252182845,7788.0,0.5528322440087146,0.006535947712418301,0.008169934640522876,0.0
6,1013,104,366,0.4646546224507775,1505,1200,7.0,7.0,6.0,847.0,17.0,4.0,1.0,1.0,0.8048128342245989,0.6417112299465241,0.0,0.28357179796586796,5801.0,0.5417112299465241,0.006951871657754011,0.0037433155080213902,0.0
7,1104,146,315,0.2646907658082585,1715,1505,10.0,8.0,13.0,4386.0,19.0,6.0,10.0,1.0,0.8605117912694431,0.7551430005017562,0.0,-0.09042670793720982,4523.0,0.5539387857501255,0.007526342197691922,0.005017561465127948,0.0
8,1108,139,271,1.8587515969869448,1706,1556,9.0,9.0,35.0,3570.0,18.0,1.0,3.0,1.0,0.8590130916414904,0.783484390735146,0.0,-0.21084549129899807,22756.0,0.5579053373615307,0.02366565961732125,0.004531722054380665,0.0
9,1140,147,274,0.1778221096213704,1610,1398,4.0,4.0,7.0,1157.0,18.0,4.0,1.0,1.0,0.8698001080497029,0.7552674230145867,0.0,-0.44181072892532525,5611.0,0.6158833063209076,0.021609940572663425,0.0021609940572663426,0.0
10,1030,127,242,0.1917465170280553,1602,1408,12.0,11.0,4.0,663.0,20.0,3.0,6.0,1.0,0.873024523160763,0.7673024523160763,0.0,0.7915632754342432,6045.0,0.5613079019073569,0.020708446866485014,0.006539509536784741,0.0
11,1066,131,264,0.2018258236592112,1434,1217,17.0,15.0,5.0,974.0,19.0,2.0,4.0,1.0,0.8361516034985422,0.7096209912536443,0.0,0.4178621008792226,8644.0,0.6215743440233236,0.006997084548104956,0.009912536443148687,0.0
12,1055,125,271,0.9180161781909756,1450,1323,7.0,5.0,4.0,663.0,16.0,2.0,6.0,1.0,0.8290451686678102,0.7564322469982847,0.0,0.9992699039772346,150610326.0,0.6032018296169239,0.008004574042309892,0.004002287021154946,0.0
13,1034,123,312,1.1905403241340309,1579,1538,13.0,11.0,18.0,2683.0,10.0,2.0,3.0,1.0,0.7766847024102311,0.7565174618789966,0.0,-1.3610548100186988e-05,1780383848.0,0.5086079685194295,0.024102311854402363,0.006394490900147565,0.07692307692307693
14,1108,177,321,0.6048295935984063,1776,1358,11.0,9.0,11.0,2419.0,17.0,3.0,3.0,1.0,0.7803163444639719,0.5966608084358523,0.0,0.3472611099145667,13929.0,0.4868189806678383,0.024165202108963092,0.0048330404217926184,0.0
15,1072,191,268,0.3649764819656713,1806,1396,12.0,9.0,8.0,2516.0,15.0,3.0,6.0,1.0,0.7991150442477876,0.6176991150442478,0.0,0.17483677064980827,9649.0,0.4743362831858407,0.046460176991150445,0.005309734513274336,0.0
16,1003,126,315,0.5896063076306696,1657,1446,9.0,7.0,17.0,2109.0,16.0,3.0,5.0,1.0,0.8612266112266113,0.7515592515592515,0.0,-0.12827898364365806,9721.0,0.5213097713097713,0.0446985446985447,0.004677754677754678,0.0
17,1003,139,279,0.5009522786911796,1604,1356,10.0,9.0,10.0,914.0,20.0,1.0,5.0,1.0,0.8428796636889122,0.7125591171833946,0.0,0.6330559318753629,15501.0,0.5270625328428796,0.03573305307409354,0.005254860746190226,0.0
